phenomenonTime,result.response.value
2019-07-04T11:50:22.000Z,[map[endTime:2019-07-04T11:50:37Z startTime:2019-07-04T11:50:22Z values:[43.66 43.98 43.89 44.05 43.42 43.83 43.37 43.81 45.25 44.19 44.71 45.76 47.53 46.37 46.46]]]
2019-07-04T11:50:06.000Z,[map[endTime:2019-07-04T11:50:22Z startTime:2019-07-04T11:50:06Z values:[47.04 45.62 44.37 45.08 45.21 45.19 45.65 47.43 45.73 46.58 47.19 47.72 45.14 43.91 44.04 42.77]]]
2019-07-04T11:49:50.000Z,[map[endTime:2019-07-04T11:50:06Z startTime:2019-07-04T11:49:50Z values:[43.71 44.16 42.87 45.49 43.94 44.21 46.57 48.68 49.72 47.41 48.74 48.34 46.11 45.51 45.56 46.64]]]
2019-07-04T11:49:34.000Z,[map[endTime:2019-07-04T11:49:50Z startTime:2019-07-04T11:49:34Z values:[46.89 46.77 45.97 44.5 46.3 46.16 46.9 45.26 43.31 43.4 44.72 46.64 45.55 45.84 44.44 43.1]]]
2019-07-04T11:49:19.000Z,[map[endTime:2019-07-04T11:49:34Z startTime:2019-07-04T11:49:19Z values:[44.06 42.87 42.26 42.94 44.25 46.07 44.38 45.29 45.2 46.41 48.27 48.05 47.29 45.22 44.96]]]
2019-07-04T11:49:03.000Z,[map[endTime:2019-07-04T11:49:19Z startTime:2019-07-04T11:49:03Z values:[42.42 41.14 41.57 42.19 42.36 41.76 41.03 41.81 41.98 42.2 42.55 45.64 47.05 46.65 43.55 43.51]]]
2019-07-04T11:48:47.000Z,[map[endTime:2019-07-04T11:49:03Z startTime:2019-07-04T11:48:47Z values:[51.48 51.92 51.8 50.15 50.02 49.22 49.12 48.75 51.28 52.5 51.38 48.28 45.18 47.28 44.66 44.36]]]
2019-07-04T11:48:31.000Z,[map[endTime:2019-07-04T11:48:47Z startTime:2019-07-04T11:48:31Z values:[47.65 48.38 49.91 51.08 52.52 55.61 63.6 60.14 71.42 71.27 63.42 60.2 57.52 53.17 55 54.22]]]
2019-07-04T11:48:16.000Z,[map[endTime:2019-07-04T11:48:31Z startTime:2019-07-04T11:48:16Z values:[45.37 46.24 46.18 46.38 46.89 46.45 47.44 45.33 44.55 44.84 45.81 45.92 46.83 47.4 47.51]]]
2019-07-04T11:48:00.000Z,[map[endTime:2019-07-04T11:48:16Z startTime:2019-07-04T11:48:00Z values:[41.29 41.68 41.91 41.93 41.39 41.92 43.66 44.3 44.66 44.62 44.52 44.55 45.92 44.69 44.12 45.65]]]
2019-07-04T11:47:44.000Z,[map[endTime:2019-07-04T11:48:00Z startTime:2019-07-04T11:47:44Z values:[42.84 42.77 44.03 43.53 44.3 43.98 42.85 44.01 43.39 43.62 42.81 42.6 42.19 43.1 43.13 41.57]]]
2019-07-04T11:47:28.000Z,[map[endTime:2019-07-04T11:47:44Z startTime:2019-07-04T11:47:28Z values:[42.19 42.65 42.52 42.15 41.72 41.75 42.43 43.27 45.03 42.53 42.23 42.41 42.22 41.77 42.01 42.66]]]
2019-07-04T11:47:13.000Z,[map[endTime:2019-07-04T11:47:28Z startTime:2019-07-04T11:47:13Z values:[47.51 46.3 43.81 43.32 44.26 43.02 42.35 42.14 48.08 42.35 41.21 40.92 41.64 41.99 41.4]]]
2019-07-04T11:46:57.000Z,[map[endTime:2019-07-04T11:47:13Z startTime:2019-07-04T11:46:57Z values:[44.71 45.38 44.59 42.48 45.18 43.76 43.35 43.9 44.84 44.38 45.69 44.78 44.91 45 45.89 49.14]]]
2019-07-04T11:46:41.000Z,[map[endTime:2019-07-04T11:46:57Z startTime:2019-07-04T11:46:41Z values:[43.33 43.7 44.16 43.44 44.43 44.19 44.21 46.42 47.2 47.05 45.4 45.72 46.22 46.82 48.3 48.12]]]
2019-07-04T11:46:25.000Z,[map[endTime:2019-07-04T11:46:41Z startTime:2019-07-04T11:46:25Z values:[46.39 46.86 47.2 45.93 48.05 48.25 47.94 46.68 46.77 47 46.75 46.41 45.41 45.27 47.99 56.75]]]
2019-07-04T11:46:10.000Z,[map[endTime:2019-07-04T11:46:25Z startTime:2019-07-04T11:46:10Z values:[46.57 47.51 47.27 48.97 47.49 46.74 49.26 48.8 48.29 46.49 57.85 47.35 45.25 46.46 46.39]]]
2019-07-04T11:45:54.000Z,[map[endTime:2019-07-04T11:46:10Z startTime:2019-07-04T11:45:54Z values:[45.98 49.99 52.42 49.55 45.55 45.74 44.78 44.57 44.94 51.44 50.56 52.96 52.93 47 45.84 45.49]]]
2019-07-04T11:45:38.000Z,[map[endTime:2019-07-04T11:45:54Z startTime:2019-07-04T11:45:38Z values:[46.31 46.44 47.43 49.29 48.57 45.03 47.15 45.51 44.98 43.76 43.92 43.92 44.54 44.66 44.34 44.66]]]
2019-07-04T11:45:22.000Z,[map[endTime:2019-07-04T11:45:38Z startTime:2019-07-04T11:45:22Z values:[50.55 50.42 49.12 48.41 48.03 47.12 45.88 47.16 46.65 46.57 46.55 46.84 46.24 46.6 45.65 46.46]]]
2019-07-04T11:45:06.000Z,[map[endTime:2019-07-04T11:45:22Z startTime:2019-07-04T11:45:06Z values:[48.54 46.77 45.62 45.1 46.9 46.25 45.96 46.23 47.62 47.21 47.74 49.42 49.29 50.68 51.53 50.23]]]
2019-07-04T11:44:51.000Z,[map[endTime:2019-07-04T11:45:06Z startTime:2019-07-04T11:44:51Z values:[45.76 45.87 46.74 46.08 45.94 46.95 47.87 50.22 52.96 49.14 58.39 52.91 47.62 46.09 47.04]]]
2019-07-04T11:44:35.000Z,[map[endTime:2019-07-04T11:44:51Z startTime:2019-07-04T11:44:35Z values:[44.82 45.17 45.32 45.8 46.34 47.13 47.59 48.35 49.1 47.01 46.77 46.57 45.69 45.83 45.26 45.14]]]
2019-07-04T11:44:19.000Z,[map[endTime:2019-07-04T11:44:35Z startTime:2019-07-04T11:44:19Z values:[43.27 43.57 44.84 44 43.33 43.48 44.53 45.25 46.04 44.12 44.17 43.9 44.52 44.38 45.16 44.76]]]
2019-07-04T11:44:03.000Z,[map[endTime:2019-07-04T11:44:19Z startTime:2019-07-04T11:44:03Z values:[58.2 51.26 49.1 47.93 46.69 48.24 49.38 50.46 51.19 48.04 48.54 48.22 45.73 46.66 44.88 42.66]]]
2019-07-04T11:43:48.000Z,[map[endTime:2019-07-04T11:44:03Z startTime:2019-07-04T11:43:48Z values:[47.03 48.92 55.57 59.77 59.87 57.26 60.52 55.23 60.12 66.19 67.76 66.28 64.65 58.1 58.79]]]
2019-07-04T11:43:32.000Z,[map[endTime:2019-07-04T11:43:48Z startTime:2019-07-04T11:43:32Z values:[46.9 46.56 46.53 47.66 47.01 47.6 49.29 47.51 47.05 45.67 47.16 47.82 47.39 46.83 45.35 47.53]]]
2019-07-04T11:43:16.000Z,[map[endTime:2019-07-04T11:43:32Z startTime:2019-07-04T11:43:16Z values:[46.65 47.04 44.75 43.94 44.73 43.5 43.57 43.64 43.52 43.78 43.97 44.61 44.84 46.22 44.84 45.02]]]
