phenomenonTime,result
2019-11-12T15:54:16.513Z,0
2019-11-12T15:52:13.278Z,0.31
2019-11-12T15:51:08.868Z,0
2019-11-12T15:50:08.210Z,1.78
2019-11-12T15:49:01.533Z,0.25
2019-11-12T15:47:56.623Z,0.36
2019-11-12T15:45:49.227Z,0.47
2019-11-12T15:44:48.465Z,0.58
2019-11-12T15:43:50.782Z,0
2019-11-12T15:42:42.042Z,0
2019-11-12T15:41:43.867Z,0.25
2019-11-12T15:40:34.757Z,1.36
2019-11-12T15:39:35.778Z,2.36
2019-11-12T15:38:31.334Z,0.47
2019-11-12T15:37:28.406Z,0.42
2019-11-12T15:36:25.091Z,0.75
2019-11-12T15:35:21.974Z,0
2019-11-12T15:34:16.097Z,0.36
2019-11-12T15:33:13.584Z,0
2019-11-12T15:32:17.676Z,0
2019-11-12T15:30:07.800Z,1.36
2019-11-12T15:29:04.391Z,0.58
2019-11-12T15:28:01.068Z,1.64
2019-11-12T15:26:56.348Z,0.25
2019-11-12T15:25:51.713Z,1.58
2019-11-12T15:24:50.195Z,0.31
2019-11-12T15:22:52.455Z,0.53
2019-11-12T15:21:47.859Z,0
2019-11-12T15:20:37.422Z,0.86
2019-11-12T15:19:40.549Z,1.58
2019-11-12T15:18:36.798Z,0
2019-11-12T15:17:31.751Z,0.53
2019-11-12T15:16:26.829Z,1.03
2019-11-12T15:15:23.800Z,0.42
2019-11-12T15:10:10.216Z,1.64
2019-11-12T15:09:07.366Z,0
2019-11-12T15:08:04.819Z,0.64
2019-11-12T15:07:00.502Z,2.25
2019-11-12T15:05:55.430Z,1.19
2019-11-12T15:02:47.502Z,0.69
2019-11-12T15:00:42.245Z,0.47
2019-11-12T14:59:43.372Z,2.53
2019-11-12T14:58:38.704Z,2.78
2019-11-12T14:57:33.746Z,1.78
2019-11-12T14:56:28.950Z,1.47
2019-11-12T14:55:25.161Z,31.89
2019-11-12T14:54:21.572Z,3.06
2019-11-12T14:53:17.280Z,2.78
2019-11-12T14:50:15.983Z,0.86
2019-11-12T14:49:07.467Z,2.08
2019-11-12T14:48:05.337Z,1.86
2019-11-12T14:46:59.197Z,1.31
2019-11-12T14:45:57.884Z,2.19
2019-11-12T14:40:43.128Z,2.58
2019-11-12T14:39:47.393Z,0.25
2019-11-12T14:37:38.230Z,3.11
2019-11-12T14:36:32.370Z,2.64
2019-11-12T14:33:19.615Z,1.36
2019-11-12T14:32:15.872Z,2.31
