phenomenonTime,result.response.value
2019-05-27T10:54:34.000Z,[map[endTime:2019-05-27T10:54:49Z startTime:2019-05-27T10:54:34Z values:[47.69 48.34 48.9 48.72 48.41 51.52 48.7 48.48 48.62 49.45 49.35 49.44 48.88 49.34 50.39]]]
2019-05-27T10:54:18.000Z,[map[endTime:2019-05-27T10:54:34Z startTime:2019-05-27T10:54:18Z values:[47.87 47.71 47.87 48.05 47.51 47.57 49.1 48.9 51.31 48.27 47.97 47.48 48.22 47.41 48.07 48.94]]]
2019-05-27T10:54:02.000Z,[map[endTime:2019-05-27T10:54:18Z startTime:2019-05-27T10:54:02Z values:[47.45 47.68 47.66 47.82 47.28 47.68 49.52 48.96 48.2 48.21 48.14 50.19 47.22 48.11 48.37 47.91]]]
2019-05-27T10:53:47.000Z,[map[endTime:2019-05-27T10:54:02Z startTime:2019-05-27T10:53:47Z values:[53.28 50.02 48.97 49.04 50.86 49.27 51.02 50.36 50.44 48.55 48.8 49.21 48.66 47.94 47.64]]]
2019-05-27T10:53:31.000Z,[map[endTime:2019-05-27T10:53:46Z startTime:2019-05-27T10:53:31Z values:[47.18 47.31 47.3 47.93 47.59 51.77 47.76 47.52 47.18 47.64 47.88 49.56 52.83 52.36 52.41]]]
2019-05-27T10:53:15.000Z,[map[endTime:2019-05-27T10:53:30Z startTime:2019-05-27T10:53:15Z values:[47.39 47.41 46.96 47.17 47.38 47.33 51.3 47.4 47.23 52.43 47.48 47.21 47.21 47.23 47.4]]]
2019-05-27T10:52:59.000Z,[map[endTime:2019-05-27T10:53:15Z startTime:2019-05-27T10:52:59Z values:[47.62 47.48 47.47 47.91 50.95 48.64 47.85 47.97 49.6 50.13 49.05 50.7 49.58 47.76 47.61 47.28]]]
2019-05-27T10:52:43.000Z,[map[endTime:2019-05-27T10:52:59Z startTime:2019-05-27T10:52:43Z values:[48.08 47.97 48.04 48.2 48.77 48.02 49.33 49.38 48.01 49.48 48.81 48.95 49.55 48.52 48.08 47.46]]]
2019-05-27T10:52:28.000Z,[map[endTime:2019-05-27T10:52:43Z startTime:2019-05-27T10:52:28Z values:[47.89 49.53 49.51 48.12 47.9 47.69 47.57 47.41 47.28 49.17 48.1 47.16 47.29 47.1 47.69]]]
2019-05-27T10:52:12.000Z,[map[endTime:2019-05-27T10:52:27Z startTime:2019-05-27T10:52:12Z values:[48.47 47.41 47.57 47.56 47.47 47.03 47.54 48.54 47.78 47.87 47.95 47.99 47.87 47.84 47.87]]]
